"No.","Time","Source","Destination","Protocol","Length","Info"
"6678","96.995429","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6679","96.995429","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6680","96.995429","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6681","96.995429","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6682","96.995429","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6683","96.995914","192.168.43.214","112.215.183.79","UDP","75","59990  >  443 Len=33"
"6684","96.996205","192.168.43.214","112.215.183.79","UDP","80","59990  >  443 Len=38"
"6685","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6686","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6687","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6688","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6689","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6690","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6691","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6692","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6693","96.999377","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6694","96.999733","192.168.43.214","112.215.183.79","UDP","75","59990  >  443 Len=33"
"6695","97.001037","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6696","97.010141","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6697","97.010141","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6698","97.010141","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6699","97.010141","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6700","97.010141","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6701","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6702","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6703","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6704","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6705","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6706","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6707","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6708","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6709","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6710","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6711","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6712","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6713","97.010302","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6714","97.010452","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6715","97.010452","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6716","97.010452","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6717","97.010452","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6718","97.010452","112.215.183.79","192.168.43.214","UDP","1292","443  >  59990 Len=1250"
"6719","97.010452","112.215.183.79","192.168.43.214","UDP","949","443  >  59990 Len=907"
"6720","97.010621","192.168.43.214","112.215.183.79","UDP","75","59990  >  443 Len=33"
"6721","97.010853","192.168.43.214","112.215.183.79","UDP","75","59990  >  443 Len=33"
"6722","97.012841","192.168.43.214","172.217.194.94","QUIC","692","Protected Payload (KP0), DCID=4bcec8dd12b31bf1"
"6723","97.027014","192.168.43.214","112.215.183.79","UDP","76","59990  >  443 Len=34"
"6724","97.041101","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6725","97.050269","192.168.43.214","74.125.200.93","UDP","688","61132  >  443 Len=646"
"6726","97.071144","112.215.183.79","192.168.43.214","UDP","68","443  >  59990 Len=26"
"6727","97.134021","172.217.194.94","192.168.43.214","QUIC","69","Protected Payload (KP0)"
"6728","97.134132","172.217.194.94","192.168.43.214","QUIC","105","Protected Payload (KP0)"
"6729","97.134132","172.217.194.94","192.168.43.214","QUIC","67","Protected Payload (KP0)"
"6730","97.134445","192.168.43.214","172.217.194.94","QUIC","77","Protected Payload (KP0), DCID=4bcec8dd12b31bf1"
"6731","97.150008","74.125.200.93","192.168.43.214","UDP","74","443  >  61132 Len=32"
"6732","97.161028","192.168.43.214","172.217.194.94","QUIC","75","Protected Payload (KP0), DCID=4bcec8dd12b31bf1"
"6733","97.165212","192.168.43.214","74.125.200.93","UDP","75","61132  >  443 Len=33"
"6734","97.165560","74.125.200.93","192.168.43.214","UDP","116","443  >  61132 Len=74"
"6735","97.165560","74.125.200.93","192.168.43.214","UDP","68","443  >  61132 Len=26"
"6736","97.165847","192.168.43.214","74.125.200.93","UDP","81","61132  >  443 Len=39"
"6737","97.181049","192.168.43.214","74.125.200.93","UDP","75","61132  >  443 Len=33"
"6738","97.242041","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6739","97.250096","172.217.194.94","192.168.43.214","QUIC","67","Protected Payload (KP0)"
"6740","97.292416","74.125.200.93","192.168.43.214","UDP","68","443  >  61132 Len=26"
"6741","97.354087","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6742","97.382751","192.168.43.214","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"6743","97.566986","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6744","97.675992","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6745","97.894299","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6746","97.995247","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6747","98.383451","192.168.43.214","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"6748","98.398509","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6749","98.518098","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6750","98.901168","31.13.95.60","192.168.43.214","TLSv1.2","188","Application Data"
"6751","98.950940","192.168.43.214","31.13.95.60","TCP","54","60282  >  443 [ACK] Seq=672 Ack=4382 Win=12644 Len=0"
"6752","99.328377","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6753","99.342819","192.168.43.214","140.82.114.25","TCP","55","[TCP Keep-Alive] 60448  >  443 [ACK] Seq=30 Ack=26 Win=253 Len=1[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"6754","99.451370","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6755","99.656549","140.82.114.25","192.168.43.214","TCP","66","[TCP Keep-Alive ACK] 443  >  60448 [ACK] Seq=26 Ack=31 Win=70 Len=0 SLE=30 SRE=31"
"6756","100.940691","31.13.95.60","192.168.43.214","TLSv1.2","293","Application Data"
"6757","100.990128","192.168.43.214","31.13.95.60","TCP","54","60282  >  443 [ACK] Seq=672 Ack=4621 Win=12643 Len=0"
"6758","101.052233","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6759","101.135844","192.168.43.214","192.168.43.1","DNS","76","Standard query 0x11f8 A web.whatsapp.com"
"6760","101.157653","142.251.10.189","192.168.43.214","UDP","68","443  >  56574 Len=26"
"6761","101.211661","192.168.43.1","192.168.43.214","DNS","129","Standard query response 0x11f8 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 31.13.95.60"
"6762","101.214474","192.168.43.214","31.13.95.60","QUIC","1292","Initial, DCID=68ad32b889b65051, PKN: 1, PADDING, PING, PING, PADDING, PING, PING, PADDING, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"6763","101.303226","31.13.95.60","192.168.43.214","QUIC","1274","Initial, SCID=71d10c5e0ce03802, PKN: 12000522, ACK, PADDING"
"6764","101.303226","31.13.95.60","192.168.43.214","QUIC","1274","Initial, SCID=71d10c5e0ce03802, PKN: 12000523, CRYPTO, PADDING"
"6765","101.303491","31.13.95.60","192.168.43.214","QUIC","1274","Handshake, SCID=71d10c5e0ce03802"
"6766","101.303491","31.13.95.60","192.168.43.214","QUIC","1190","Handshake, SCID=71d10c5e0ce03802"
"6767","101.303491","31.13.95.60","192.168.43.214","QUIC","97","Protected Payload (KP0)"
"6768","101.305643","192.168.43.214","31.13.95.60","QUIC","85","Handshake, DCID=71d10c5e0ce03802"
"6769","101.314804","192.168.43.214","31.13.95.60","QUIC","115","Handshake, DCID=71d10c5e0ce03802"
"6770","101.315737","192.168.43.214","31.13.95.60","QUIC","114","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6771","101.316143","192.168.43.214","31.13.95.60","QUIC","381","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6772","101.379115","31.13.95.60","192.168.43.214","QUIC","81","Handshake, SCID=71d10c5e0ce03802"
"6773","101.379115","31.13.95.60","192.168.43.214","QUIC","126","Protected Payload (KP0)"
"6774","101.379376","31.13.95.60","192.168.43.214","QUIC","68","Protected Payload (KP0)"
"6775","101.379376","31.13.95.60","192.168.43.214","QUIC","286","Protected Payload (KP0)"
"6776","101.379376","31.13.95.60","192.168.43.214","QUIC","70","Protected Payload (KP0)"
"6777","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6778","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6779","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6780","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6781","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6782","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6783","101.379376","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6784","101.379756","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6785","101.379969","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6786","101.380118","192.168.43.214","31.13.95.60","QUIC","80","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6787","101.380210","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6788","101.380289","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6789","101.394242","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6790","101.394242","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6791","101.394357","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6792","101.394357","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6793","101.394357","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6794","101.394357","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6795","101.394737","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6796","101.394927","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6797","101.395018","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6798","101.422126","192.168.43.214","31.13.95.60","QUIC","77","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6799","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6800","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6801","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6802","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6803","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6804","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6805","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6806","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6807","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6808","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6809","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6810","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6811","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6812","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6813","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6814","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6815","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6816","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6817","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6818","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6819","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6820","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6821","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6822","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6823","101.472630","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6824","101.473102","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6825","101.473249","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6826","101.473338","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6827","101.473433","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6828","101.473551","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6829","101.473641","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6830","101.473742","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6831","101.473844","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6832","101.473941","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6833","101.474043","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6834","101.474150","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6835","101.474246","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6836","101.500096","192.168.43.214","31.13.95.60","QUIC","77","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6837","101.504054","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6838","101.504054","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6839","101.504309","192.168.43.214","31.13.95.60","QUIC","81","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6840","101.580137","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6841","101.580137","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6842","101.580690","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6843","101.583377","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6844","101.583377","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6845","101.583685","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6846","101.584047","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6847","101.584047","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6848","101.584233","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6849","101.584253","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6850","101.584253","31.13.95.60","192.168.43.214","QUIC","1274","Protected Payload (KP0)"
"6851","101.584334","192.168.43.214","31.13.95.60","QUIC","76","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6852","101.584687","31.13.95.60","192.168.43.214","QUIC","654","Protected Payload (KP0)"
"6853","101.587795","31.13.95.60","192.168.43.214","QUIC","65","Protected Payload (KP0)"
"6854","101.610919","74.125.68.95","192.168.43.214","UDP","160","443  >  65207 Len=118"
"6855","101.611111","192.168.43.214","31.13.95.60","QUIC","77","Protected Payload (KP0), DCID=71d10c5e0ce03802"
"6856","101.627880","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6857","101.814177","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6858","101.954210","74.125.68.95","192.168.43.214","UDP","67","443  >  65207 Len=25"
"6859","101.969127","31.13.95.60","192.168.43.214","TLSv1.2","229","Application Data"
"6860","102.016059","192.168.43.214","31.13.95.60","TCP","54","60282  >  443 [ACK] Seq=672 Ack=4796 Win=12643 Len=0"
"6861","102.172180","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6862","102.274428","74.125.68.95","192.168.43.214","UDP","67","443  >  65207 Len=25"
"6863","102.478419","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6864","102.657891","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6865","102.742833","74.125.68.95","192.168.43.214","UDP","67","443  >  65207 Len=25"
"6866","102.782156","74.125.68.95","192.168.43.214","UDP","68","443  >  65207 Len=26"
"6867","103.013991","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6868","103.117052","74.125.68.95","192.168.43.214","UDP","68","443  >  65207 Len=26"
"6869","103.161154","142.250.4.139","192.168.43.214","UDP","79","443  >  64017 Len=37"
"6870","103.176852","192.168.43.214","142.250.4.139","UDP","75","64017  >  443 Len=33"
"6871","103.321519","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6872","103.367608","192.168.43.214","142.250.4.139","UDP","75","64017  >  443 Len=33"
"6873","103.417080","74.125.68.95","192.168.43.214","UDP","68","443  >  65207 Len=26"
"6874","103.492098","142.250.4.139","192.168.43.214","UDP","68","443  >  64017 Len=26"
"6875","103.654589","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6876","103.696144","192.168.43.214","142.250.4.139","UDP","75","64017  >  443 Len=33"
"6877","103.737425","74.125.68.95","192.168.43.214","UDP","68","443  >  65207 Len=26"
"6878","103.800926","142.250.4.139","192.168.43.214","UDP","68","443  >  64017 Len=26"
"6879","103.960204","31.13.95.60","192.168.43.214","TLSv1.2","309","Application Data"
"6880","104.010061","192.168.43.214","31.13.95.60","TCP","54","60282  >  443 [ACK] Seq=672 Ack=5051 Win=12642 Len=0"
"6881","104.026117","192.168.43.214","142.250.4.139","UDP","75","64017  >  443 Len=33"
"6882","104.133125","142.250.4.139","192.168.43.214","UDP","68","443  >  64017 Len=26"
"6883","104.158525","192.168.43.214","74.125.68.95","UDP","75","65207  >  443 Len=33"
"6884","104.231706","74.125.68.95","192.168.43.214","UDP","69","443  >  65207 Len=27"
"6885","104.327200","192.168.43.214","192.168.43.1","DNS","78","Standard query 0xe42e A www.googleapis.com"
"6886","104.366279","192.168.43.214","142.251.10.189","UDP","75","56574  >  443 Len=33"
"6887","104.366456","192.168.43.214","142.250.4.139","UDP","75","64017  >  443 Len=33"
